"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"snR70"	479.661584838352	0.451224428534828	0.316575208109595	37.0758700918329	1.70192587595949e-06	0.000143415469264001
"YBL016W"	208.256225370773	2.99887992088242	0.523753261525702	38.558533239772	8.73474323762003e-07	9.10354350765287e-05
"YBR068C"	90.2722524841377	0.798416331184138	0.639134567841931	39.3089811265572	6.22556841233103e-07	7.45478702651044e-05
"YBR071W"	249.609387165189	1.22091572532118	0.306774239337916	46.3456049369223	2.5266574994952e-08	5.46924169506116e-06
"YBR085C-A"	641.677062389324	0.86664592585152	0.351316558474874	39.5979056766731	5.46361069098491e-07	6.68460890627458e-05
"YCR018C"	78.0933113377078	2.55586709079255	0.651553264111893	32.2861142487183	1.43807383105023e-05	0.000729142299202763
"YDL234C"	443.742285612874	1.24115029304021	0.242348433339485	60.2472053808578	4.00943716716742e-11	2.82063904710228e-08
"YDR055W"	1466.11883346067	1.31977406865211	0.355056346463194	41.0296498950684	2.85698251683825e-07	4.06683699086342e-05
"YDR210W"	136.240895962969	1.25366569188557	0.314747592417423	34.9903484135662	4.32809702962193e-06	0.000293476266056774
"YDR216W"	637.4651987352	2.00772737338814	0.269936886048215	91.7323938518406	1.32266810524398e-17	7.44397609631311e-14
"YDR261C-D"	449.861206264529	1.96122223104541	0.454690738043238	33.2976356356751	9.18974778995224e-06	0.000502134956911176
"YDR342C"	221.689075826675	1.32220496484445	0.715292908220515	48.0564407617315	1.15132828984389e-08	2.70072865852844e-06
"YDR365W-B"	1070.16982474323	1.56392817803148	0.405661640824035	31.7914873716604	1.78899676108655e-05	0.000891015377999568
"YER103W"	419.652128502515	1.94932794851489	0.371881012356665	47.8611248674725	1.25956657979592e-08	2.83553628443657e-06
"YFR055W"	419.543581665465	0.999952189209113	0.312393034975632	60.8262287287843	3.05762441464194e-11	2.45833002937212e-08
"YGR032W"	3679.74139415184	2.69468576419728	0.63040944176109	45.280307405899	4.11673764944073e-08	7.72299983035081e-06
"YGR043C"	156.222823556093	1.60760535141679	0.451593775316047	49.8462014015254	5.04689856560019e-09	1.49494448037883e-06
"YGR144W"	127.674730616513	1.6437100052767	0.465536162787829	54.7552183183496	5.19416800730239e-10	2.80210666168058e-07
